ID,Rel Compact,Surface Area,Wall Area,Roof Area,Height,Orientation,Glazing Area,Glazing Distr,Outcome
1,0.71,710.5,269.5,220.5,3.5,3,0.1,1,10.85732368
2,0.64,784,343,220.5,3.5,5,0.4,1,19.62993758
3,0.9,563.5,318.5,122.5,7,3,0.4,4,35.9374156
4,0.66,759.5,318.5,220.5,3.5,3,0.25,5,12.956484
5,0.71,710.5,269.5,220.5,3.5,2,0.1,2,10.69609622
6,0.98,514.5,294,110.25,7,3,0.25,1,28.17488927
7,0.69,735,294,220.5,3.5,5,0.25,5,12.33655397
8,0.98,514.5,294,110.25,7,4,0.25,4,28.20334518
9,0.98,514.5,294,110.25,7,4,0,0,15.50621338
10,0.71,710.5,269.5,220.5,3.5,5,0.4,1,14.44854086
11,0.82,612.5,318.5,147,7,3,0,0,17.5246443
12,0.86,588,294,147,7,3,0.4,5,31.94166311
13,0.71,710.5,269.5,220.5,3.5,3,0.4,3,14.12293704
14,0.86,588,294,147,7,3,0.4,2,32.68750016
15,0.71,710.5,269.5,220.5,3.5,5,0.1,5,13.83711342
16,0.98,514.5,294,110.25,7,4,0.4,3,32.4432145
17,0.74,686,245,220.5,3.5,3,0,0,6.20419087
18,0.76,661.5,416.5,122.5,7,5,0.1,4,32.40188019
19,0.66,759.5,318.5,220.5,3.5,5,0.25,4,12.88745186
20,0.66,759.5,318.5,220.5,3.5,4,0,0,7.08392189
21,0.86,588,294,147,7,5,0.25,1,28.80663064
22,0.86,588,294,147,7,5,0.25,4,29.69436666
23,0.64,784,343,220.5,3.5,3,0.1,1,15.00444799
24,0.9,563.5,318.5,122.5,7,5,0.4,5,35.11248339
25,0.74,686,245,220.5,3.5,4,0.4,4,14.26009673
26,0.98,514.5,294,110.25,7,3,0.1,3,24.26442607
27,0.71,710.5,269.5,220.5,3.5,5,0,0,6.505406554
28,0.98,514.5,294,110.25,7,2,0.4,1,32.31057679
29,0.69,735,294,220.5,3.5,4,0.4,1,14.48990868
30,0.62,808.5,367.5,220.5,3.5,5,0.1,2,13.12166087
