"","ID","Rel.Compact","Surface.Area","Wall.Area","Roof.Area","Height","Orientation","Glazing.Area","Glazing.Distr","Outcome"
"303",303,0.98,514.5,294,110.25,7,5,0.4,3,32.77655339
"255",255,0.71,710.5,269.5,220.5,3.5,3,0.25,3,12.15883296
"545",545,0.74,686,245,220.5,3.5,4,0.4,1,14.76957669
"548",548,0.64,784,343,220.5,3.5,3,0.4,5,18.13730515
"95",95,0.62,808.5,367.5,220.5,3.5,4,0.4,2,17.29960981
"384",384,0.82,612.5,318.5,147,7,3,0.4,1,29.8513448
"345",345,0.66,759.5,318.5,220.5,3.5,5,0.1,4,11.44712142
"112",112,0.82,612.5,318.5,147,7,5,0.4,4,29.53659386
"46",46,0.71,710.5,269.5,220.5,3.5,2,0.25,4,12.28402347
"13",13,0.71,710.5,269.5,220.5,3.5,3,0.4,3,14.12293704
"553",553,0.76,661.5,416.5,122.5,7,5,0.1,2,32.40497035
"242",242,0.64,784,343,220.5,3.5,4,0,0,10.84649096
"621",621,0.79,637,343,147,7,4,0.4,4,41.22070721
"588",588,0.66,759.5,318.5,220.5,3.5,4,0.4,1,15.22111945
"294",294,0.62,808.5,367.5,220.5,3.5,2,0,0,8.628708649
"647",647,0.98,514.5,294,110.25,7,4,0.4,2,32.2154698
"594",594,0.76,661.5,416.5,122.5,7,5,0.25,5,36.84181991
"151",151,0.79,637,343,147,7,5,0.1,4,37.10765038
"459",459,0.62,808.5,367.5,220.5,3.5,2,0.25,2,14.39038826
"478",478,0.79,637,343,147,7,2,0.25,3,38.97219805
"349",349,0.86,588,294,147,7,2,0.25,2,29.25984662
"488",488,0.71,710.5,269.5,220.5,3.5,3,0.25,4,12.41787834
"522",522,0.98,514.5,294,110.25,7,2,0.1,5,24.49228238
"50",50,0.82,612.5,318.5,147,7,3,0.1,5,23.8077183
"359",359,0.74,686,245,220.5,3.5,4,0.25,4,12.25850923
"649",649,0.76,661.5,416.5,122.5,7,5,0.25,2,36.33095802
"383",383,0.64,784,343,220.5,3.5,5,0.4,4,18.83173782
"480",480,0.9,563.5,318.5,122.5,7,2,0.25,4,32.61927454
"143",143,0.9,563.5,318.5,122.5,7,3,0.4,5,35.00696306
"429",429,0.79,637,343,147,7,5,0.25,1,39.05552863
"83",83,0.74,686,245,220.5,3.5,3,0.4,2,14.4050799
"31",31,0.79,637,343,147,7,2,0.4,5,42.3431166
"346",346,0.76,661.5,416.5,122.5,7,5,0.4,1,40.38789159
"32",32,0.9,563.5,318.5,122.5,7,5,0.25,1,31.87776763
"576",576,0.74,686,245,220.5,3.5,5,0.25,1,12.6568373
"219",219,0.74,686,245,220.5,3.5,2,0.25,5,12.26329729
"97",97,0.98,514.5,294,110.25,7,2,0.4,4,32.80991321
"333",333,0.64,784,343,220.5,3.5,4,0.4,5,18.12785663
"1",1,0.71,710.5,269.5,220.5,3.5,3,0.1,1,10.85732368
"361",361,0.74,686,245,220.5,3.5,5,0.4,1,14.59313581
"557",557,0.69,735,294,220.5,3.5,5,0.1,1,11.0996151
"587",587,0.74,686,245,220.5,3.5,2,0.4,4,14.4769164
"231",231,0.9,563.5,318.5,122.5,7,5,0.1,5,28.96946872
"103",103,0.86,588,294,147,7,2,0.4,4,32.42695685
"295",295,0.79,637,343,147,7,4,0.4,2,42.94438397
"247",247,0.64,784,343,220.5,3.5,2,0.1,3,15.16904896
"500",500,0.98,514.5,294,110.25,7,3,0.1,4,24.16714028
"642",642,0.82,612.5,318.5,147,7,3,0.4,4,28.09565384
"5",5,0.71,710.5,269.5,220.5,3.5,2,0.1,2,10.69609622
"546",546,0.86,588,294,147,7,3,0.25,5,29.22967788
"325",325,0.82,612.5,318.5,147,7,4,0.4,3,29.48755589
"645",645,0.9,563.5,318.5,122.5,7,3,0.25,2,33.3846412
"320",320,0.76,661.5,416.5,122.5,7,4,0.25,4,36.84238964
"164",164,0.98,514.5,294,110.25,7,4,0.1,4,24.10974714
"177",177,0.86,588,294,147,7,4,0.1,4,26.19790586
"160",160,0.79,637,343,147,7,5,0.4,3,42.20137748
"484",484,0.69,735,294,220.5,3.5,2,0.1,2,11.37053107
"574",574,0.79,637,343,147,7,4,0.25,2,40.00033796
"540",540,0.71,710.5,269.5,220.5,3.5,3,0.1,3,10.63528327
"239",239,0.98,514.5,294,110.25,7,3,0.25,4,28.49808964
"343",343,0.82,612.5,318.5,147,7,4,0.25,1,26.88234676
"541",541,0.64,784,343,220.5,3.5,3,0.4,1,19.14956783
"502",502,0.71,710.5,269.5,220.5,3.5,4,0.1,1,10.72005277
"249",249,0.98,514.5,294,110.25,7,3,0.1,5,24.26223503
"487",487,0.62,808.5,367.5,220.5,3.5,3,0.1,1,13.02173699
"87",87,0.62,808.5,367.5,220.5,3.5,5,0,0,8.561771747
"2",2,0.64,784,343,220.5,3.5,5,0.4,1,19.62993758
"391",391,0.69,735,294,220.5,3.5,4,0.4,2,14.4056659
"448",448,0.74,686,245,220.5,3.5,5,0.4,2,14.43799771
"202",202,0.79,637,343,147,7,5,0.4,5,40.67821085
"476",476,0.86,588,294,147,7,3,0.25,1,30.12162984
"254",254,0.64,784,343,220.5,3.5,3,0.1,4,15.21807679
"617",617,0.98,514.5,294,110.25,7,2,0.1,2,24.24386047
"260",260,0.62,808.5,367.5,220.5,3.5,5,0.1,4,12.99500982
"293",293,0.76,661.5,416.5,122.5,7,5,0.1,1,32.33548598
"171",171,0.76,661.5,416.5,122.5,7,2,0.1,1,32.80138371
"597",597,0.69,735,294,220.5,3.5,4,0.25,2,12.69476007
"595",595,0.66,759.5,318.5,220.5,3.5,3,0.4,3,15.29178916
"401",401,0.66,759.5,318.5,220.5,3.5,2,0.4,5,14.86782896
"409",409,0.76,661.5,416.5,122.5,7,4,0.1,4,33.26349497
"560",560,0.98,514.5,294,110.25,7,4,0.25,5,28.18468605
"355",355,0.69,735,294,220.5,3.5,2,0.1,1,11.13735797
"381",381,0.62,808.5,367.5,220.5,3.5,5,0.4,3,16.62941484
"382",382,0.79,637,343,147,7,3,0.4,3,41.25979477
"234",234,0.79,637,343,147,7,2,0.4,4,42.79682478
"571",571,0.71,710.5,269.5,220.5,3.5,3,0.25,1,12.61194723
"492",492,0.66,759.5,318.5,220.5,3.5,3,0.1,2,11.29516477
"614",614,0.66,759.5,318.5,220.5,3.5,5,0.4,2,15.41984246
"217",217,0.76,661.5,416.5,122.5,7,4,0.25,3,35.37433799
"203",203,0.66,759.5,318.5,220.5,3.5,5,0.25,3,12.78861443
"504",504,0.79,637,343,147,7,2,0.1,2,35.68209745
"591",591,0.64,784,343,220.5,3.5,3,0.1,5,15.38037791
"354",354,0.64,784,343,220.5,3.5,2,0,0,10.79064272
"439",439,0.82,612.5,318.5,147,7,4,0.4,4,28.64764889
"370",370,0.76,661.5,416.5,122.5,7,2,0,0,24.64671434
